short_app	policy_impl	cache_percentage	batchsize	dataset_short	num_worker	use_amp	epoch_e2e_time	cuda_usage	Step(average) L1 sample	Step(average) L2 feat copy	Step(average) L1 train total	Time.L	Time.R	Time.C	Wght.L	Wght.R	Wght.C	Thpt.L	Thpt.R	Thpt.C	SizeGB.L	SizeGB.R	SizeGB.C	optimal_local_rate	optimal_remote_rate	optimal_cpu_rate	coll_cache:local_cache_rate	coll_cache:remote_cache_rate	coll_cache:global_cache_rate
sage_unsup	Cliq	1.000000	2000	PAU	4	True	11.488297	8.31	0.003829	0.034179	0.007940	0.033484	0.000000	0.000000	100.000000	0.000000	0.000000	16.433047	nan	nan	0.550244	0.000000	0.000000	0.076442	0.229326	0.694231	0.010000	0.030000	0.040000
sage_unsup	MPSPhaseCliq	1.000000	2000	PAU	4	True	11.488785	10.03	0.003853	0.034260	0.007800	0.000112	0.001144	0.033532	7.568364	22.699768	69.731869	371.878488	109.197443	11.444292	0.041650	0.124922	0.383750	0.076446	0.229339	0.694215	0.010000	0.030000	0.040000
sage_unsup	Rep	1.000000	2000	PAU	4	True	13.541831	8.22	0.003821	0.041823	0.008477	0.041236	0.000000	0.000000	100.000000	0.000000	0.000000	13.344254	nan	nan	0.550264	0.000000	0.000000	0.141389	0.000000	0.858611	0.010000	0.000000	0.010000
sage_unsup	MPSPhaseRep	1.000000	2000	PAU	4	True	13.607378	9.95	0.003889	0.041961	0.008526	0.000405	0.000000	0.041345	14.053737	0.000000	85.946263	190.948110	nan	11.438855	0.077334	0.000000	0.472939	0.141343	0.000000	0.858657	0.010000	0.000000	0.010000
sage_unsup	MPSPhaseColl	1.000000	2000	PAU	4	True	11.656487	10.04	0.003881	0.034577	0.008118	0.000137	0.001128	0.033851	7.471693	22.093849	70.434459	300.096943	107.776831	11.449244	0.041113	0.121572	0.387568	0.076210	0.222469	0.701321	0.009989	0.028919	0.038908
sage_unsup	Coll	1.000000	2000	PAU	4	True	11.732533	8.31	0.003824	0.034619	0.008291	0.033930	0.000000	0.000000	100.000000	0.000000	0.000000	16.218766	nan	nan	0.550303	0.000000	0.000000	0.071597	0.224724	0.703679	0.009311	0.029313	0.038624
sage_unsup	Cliq	2.000000	2000	PAU	4	True	9.886710	8.96	0.003853	0.027851	0.007826	0.027107	0.000000	0.000000	100.000000	0.000000	0.000000	20.298969	nan	nan	0.550244	0.000000	0.000000	0.110368	0.331103	0.558529	0.020000	0.060000	0.080000
sage_unsup	MPSPhaseCliq	2.000000	2000	PAU	4	True	9.799287	10.45	0.003856	0.027955	0.007392	0.000157	0.001625	0.027182	10.901281	32.689645	56.409073	382.041202	110.685096	11.418258	0.059980	0.179863	0.310371	0.110392	0.331175	0.558434	0.020000	0.060000	0.080000
sage_unsup	Rep	2.000000	2000	PAU	4	True	12.702773	8.50	0.003813	0.038676	0.008278	0.038027	0.000000	0.000000	100.000000	0.000000	0.000000	14.469314	nan	nan	0.550225	0.000000	0.000000	0.209068	0.000000	0.790932	0.020000	0.000000	0.020000
sage_unsup	MPSPhaseRep	2.000000	2000	PAU	4	True	12.753767	10.01	0.003858	0.038871	0.008214	0.000503	0.000000	0.038198	20.746512	0.000000	79.253488	226.939146	nan	11.415898	0.114150	0.000000	0.436064	0.209042	0.000000	0.790958	0.020000	0.000000	0.020000
sage_unsup	MPSPhaseColl	2.000000	2000	PAU	4	True	9.889874	10.17	0.003871	0.028048	0.007576	0.000116	0.001622	0.027274	10.872536	32.498713	56.628751	515.810210	110.263660	11.426290	0.059834	0.178848	0.311641	0.115572	0.323748	0.560680	0.019856	0.059781	0.079637
sage_unsup	Coll	2.000000	2000	PAU	4	True	9.931106	8.68	0.003844	0.027950	0.007845	0.027209	0.000000	0.000000	100.000000	0.000000	0.000000	20.220001	nan	nan	0.550166	0.000000	0.000000	0.116599	0.322488	0.560913	0.019808	0.059745	0.079553
sage_unsup	Cliq	4.000000	2000	PAU	4	True	7.737563	10.00	0.003868	0.019339	0.007662	0.018535	0.000000	0.000000	100.000000	0.000000	0.000000	29.693612	nan	nan	0.550371	0.000000	0.000000	0.155927	0.467782	0.376291	0.040000	0.120000	0.160000
sage_unsup	MPSPhaseCliq	4.000000	2000	PAU	4	True	7.734235	11.71	0.003889	0.019555	0.007453	0.000202	0.002299	0.018718	15.375604	46.125036	38.499361	418.761603	110.378323	11.315666	0.084590	0.253760	0.211807	0.155914	0.467742	0.376344	0.040000	0.120000	0.160000
sage_unsup	Rep	4.000000	2000	PAU	4	True	11.560327	9.34	0.003857	0.034164	0.008111	0.033471	0.000000	0.000000	100.000000	0.000000	0.000000	16.442347	nan	nan	0.550342	0.000000	0.000000	0.305890	0.000000	0.694110	0.040000	0.000000	0.040000
sage_unsup	MPSPhaseRep	4.000000	2000	PAU	4	True	11.588124	11.34	0.003854	0.034459	0.008036	0.000644	0.000000	0.033742	30.270069	0.000000	69.729931	258.682914	nan	11.373356	0.166592	0.000000	0.383760	0.305773	0.000000	0.694227	0.040000	0.000000	0.040000
sage_unsup	MPSPhaseColl	4.000000	2000	PAU	4	True	7.714516	12.00	0.003869	0.019706	0.007293	0.000179	0.002279	0.018874	15.357720	45.794509	38.847772	472.077950	110.562815	11.325103	0.084502	0.251973	0.213750	0.156878	0.463179	0.379943	0.039944	0.118745	0.158690
sage_unsup	Coll	4.000000	2000	PAU	4	True	7.801483	10.04	0.003857	0.019596	0.007927	0.018793	0.000000	0.000000	100.000000	0.000000	0.000000	29.276609	nan	nan	0.550195	0.000000	0.000000	0.149293	0.468800	0.381907	0.039275	0.119391	0.158666
sage_unsup	Cliq	8.000000	2000	PAU	4	True	5.548691	12.61	0.003857	0.010869	0.007438	0.009993	0.000000	0.000000	100.000000	0.000000	0.000000	55.062958	nan	nan	0.550244	0.000000	0.000000	0.208452	0.625355	0.166193	0.080000	0.240000	0.320000
sage_unsup	MPSPhaseCliq	8.000000	2000	PAU	4	True	5.209329	14.33	0.003848	0.009764	0.007152	0.000251	0.003094	0.008857	20.619087	61.853712	17.527200	451.981138	109.994268	10.888060	0.113447	0.340322	0.096436	0.208443	0.625328	0.166229	0.080000	0.240000	0.320000
sage_unsup	Rep	8.000000	2000	PAU	4	True	9.903058	11.86	0.003855	0.027822	0.007821	0.027082	0.000000	0.000000	100.000000	0.000000	0.000000	20.320231	nan	nan	0.550312	0.000000	0.000000	0.441756	0.000000	0.558244	0.080000	0.000000	0.080000
sage_unsup	MPSPhaseRep	8.000000	2000	PAU	4	True	10.016114	13.86	0.003895	0.028266	0.007798	0.000837	0.000000	0.027499	43.589516	0.000000	56.410484	286.598342	nan	11.289118	0.239883	0.000000	0.310439	0.441612	0.000000	0.558388	0.080000	0.000000	0.080000
sage_unsup	MPSPhaseColl	8.000000	2000	PAU	4	True	5.367965	14.61	0.003920	0.009981	0.007571	0.000321	0.003049	0.009065	20.357390	61.535322	18.107288	349.007009	111.066769	10.992657	0.112031	0.338643	0.099648	0.214077	0.613941	0.171982	0.079994	0.239898	0.319892
sage_unsup	Coll	8.000000	2000	PAU	4	True	5.714965	12.90	0.003853	0.011230	0.007634	0.010347	0.000000	0.000000	100.000000	0.000000	0.000000	53.181931	nan	nan	0.550273	0.000000	0.000000	0.221148	0.603011	0.175840	0.079971	0.239922	0.319893
sage_unsup	Cliq	10.000000	2000	PAU	4	True	5.130475	13.94	0.003868	0.009147	0.007475	0.008238	0.000000	0.000000	100.000000	0.000000	0.000000	66.785115	nan	nan	0.550176	0.000000	0.000000	0.223597	0.670790	0.105614	0.100000	0.300000	0.400000
sage_unsup	MPSPhaseCliq	10.000000	2000	PAU	4	True	4.555972	15.42	0.003890	0.007009	0.007304	0.000273	0.003389	0.006070	22.150057	66.444847	11.405097	446.500114	107.894452	10.339979	0.121895	0.365654	0.062764	0.223609	0.670827	0.105563	0.100000	0.300000	0.400000
sage_unsup	Rep	10.000000	2000	PAU	4	True	9.239615	12.95	0.003846	0.025358	0.007830	0.024572	0.000000	0.000000	100.000000	0.000000	0.000000	22.392739	nan	nan	0.550234	0.000000	0.000000	0.495055	0.000000	0.504945	0.100000	0.000000	0.100000
sage_unsup	MPSPhaseRep	10.000000	2000	PAU	4	True	9.400672	14.94	0.003893	0.025821	0.007889	0.000926	0.000000	0.025011	48.847362	0.000000	51.152638	290.279512	nan	11.254423	0.268799	0.000000	0.281484	0.495132	0.000000	0.504868	0.100000	0.000000	0.100000
sage_unsup	MPSPhaseColl	10.000000	2000	PAU	4	True	4.589182	15.13	0.003918	0.007053	0.007345	0.000396	0.003331	0.006111	22.120470	66.292195	11.587335	307.370581	109.509274	10.433606	0.121719	0.364775	0.063760	0.245892	0.646707	0.107402	0.099696	0.299115	0.398811
