short_app	policy_impl	cache_percentage	batchsize	dataset_short	num_worker	use_amp	epoch_e2e_time	cuda_usage	Step(average) L1 sample	Step(average) L2 feat copy	Step(average) L1 train total	Time.L	Time.R	Time.C	Wght.L	Wght.R	Wght.C	Thpt.L	Thpt.R	Thpt.C	SizeGB.L	SizeGB.R	SizeGB.C	optimal_local_rate	optimal_remote_rate	optimal_cpu_rate	coll_cache:local_cache_rate	coll_cache:remote_cache_rate	coll_cache:global_cache_rate
sage_unsup	Cliq	1.000000	2000	PAU	8	False	4.121019	8.62	0.001876	0.026459	0.004612	0.026116	0.000000	0.000000	100.000000	0.000000	0.000000	21.049043	nan	nan	0.549717	0.000000	0.000000	0.055228	0.386596	0.558176	0.010000	0.070000	0.080000
sage_unsup	MPSPhaseCliq	1.000000	2000	PAU	8	False	4.136000	11.69	0.001959	0.026483	0.004592	0.000312	0.000996	0.026116	5.450443	38.174421	56.375135	96.028646	210.686496	11.866005	0.029961	0.209844	0.309893	0.055239	0.386671	0.558091	0.010000	0.070000	0.080000
sage_unsup	Rep	1.000000	2000	PAU	8	False	5.911281	8.40	0.001869	0.039957	0.005424	0.039678	0.000000	0.000000	100.000000	0.000000	0.000000	13.852971	nan	nan	0.549658	0.000000	0.000000	0.141328	0.000000	0.858672	0.010000	0.000000	0.010000
sage_unsup	MPSPhaseRep	1.000000	2000	PAU	8	False	5.938045	11.63	0.001949	0.039959	0.005574	0.004392	0.000000	0.039657	14.058864	0.000000	85.941136	17.599026	nan	11.914668	0.077295	0.000000	0.472500	0.141397	0.000000	0.858603	0.010000	0.000000	0.010000
sage_unsup	MPSPhaseColl	1.000000	2000	PAU	8	False	4.233286	11.84	0.001943	0.027291	0.004575	0.000302	0.000938	0.026926	5.566311	36.319557	58.114132	101.342612	212.896872	11.867015	0.030605	0.199697	0.319531	0.066205	0.357999	0.575796	0.009850	0.065997	0.075847
sage_unsup	Coll	1.000000	2000	PAU	8	False	4.174891	8.78	0.001885	0.026883	0.004607	0.026541	0.000000	0.000000	100.000000	0.000000	0.000000	20.713089	nan	nan	0.549746	0.000000	0.000000	0.072094	0.360323	0.567583	0.009975	0.068707	0.078682
sage_unsup	WG	1.000000	2000	PAU	8	False	1.234564	17.41	0.001870	0.003547	0.004443	0.000000	0.000000	0.000000	nan	nan	nan	nan	nan	nan	0.000000	0.000000	0.000000	None	None	None	0.010000	0	0.010000
sage_unsup	Cliq	2.000000	2000	PAU	8	False	3.127060	9.40	0.001882	0.018208	0.004892	0.017845	0.000000	0.000000	100.000000	0.000000	0.000000	30.809466	nan	nan	0.549795	0.000000	0.000000	0.078018	0.546125	0.375857	0.020000	0.140000	0.160000
sage_unsup	MPSPhaseCliq	2.000000	2000	PAU	8	False	3.144479	12.62	0.001935	0.018299	0.004881	0.000654	0.001414	0.017914	7.694768	53.854491	38.450742	64.671134	209.346269	11.797904	0.042295	0.296016	0.211348	0.078019	0.546134	0.375847	0.020000	0.140000	0.160000
sage_unsup	Rep	2.000000	2000	PAU	8	False	5.498513	9.13	0.001881	0.036939	0.005123	0.036632	0.000000	0.000000	100.000000	0.000000	0.000000	15.010730	nan	nan	0.549873	0.000000	0.000000	0.209081	0.000000	0.790919	0.020000	0.000000	0.020000
sage_unsup	MPSPhaseRep	2.000000	2000	PAU	8	False	5.509982	12.19	0.001943	0.036942	0.005156	0.003408	0.000000	0.036613	20.744464	0.000000	79.255536	33.471909	nan	11.903431	0.114072	0.000000	0.435820	0.209074	0.000000	0.790926	0.020000	0.000000	0.020000
sage_unsup	MPSPhaseColl	2.000000	2000	PAU	8	False	3.250610	12.47	0.001942	0.019154	0.004870	0.000617	0.001359	0.018770	7.535475	52.167581	40.296944	67.156478	211.078343	11.805116	0.041436	0.286855	0.221582	0.072378	0.533123	0.394499	0.020000	0.139545	0.159545
sage_unsup	Coll	2.000000	2000	PAU	8	False	3.181297	9.40	0.001888	0.018704	0.004807	0.018345	0.000000	0.000000	100.000000	0.000000	0.000000	29.968145	nan	nan	0.549766	0.000000	0.000000	0.069725	0.543365	0.386910	0.019379	0.136631	0.156010
sage_unsup	WG	2.000000	2000	PAU	8	False	1.234564	17.41	0.001870	0.003547	0.004443	0.000000	0.000000	0.000000	nan	nan	nan	nan	nan	nan	0.000000	0.000000	0.000000	None	None	None	0.020000	0	0.020000
sage_unsup	Cliq	4.000000	2000	PAU	8	False	2.064288	10.96	0.001873	0.010114	0.004498	0.009736	0.000000	0.000000	100.000000	0.000000	0.000000	56.483348	nan	nan	0.549922	0.000000	0.000000	0.104268	0.729873	0.165859	0.040000	0.280000	0.320000
sage_unsup	MPSPhaseCliq	4.000000	2000	PAU	8	False	1.983437	14.02	0.001950	0.008838	0.005019	0.001464	0.001969	0.008434	10.313232	72.192627	17.494140	38.742316	201.641061	11.407510	0.056719	0.397031	0.096211	0.104266	0.729859	0.165876	0.040000	0.280000	0.320000
sage_unsup	Rep	4.000000	2000	PAU	8	False	4.922488	10.09	0.001881	0.032569	0.004897	0.032241	0.000000	0.000000	100.000000	0.000000	0.000000	17.052058	nan	nan	0.549775	0.000000	0.000000	0.305810	0.000000	0.694190	0.040000	0.000000	0.040000
sage_unsup	MPSPhaseRep	4.000000	2000	PAU	8	False	4.945602	13.31	0.001943	0.032606	0.004959	0.003309	0.000000	0.032259	30.277625	0.000000	69.722375	50.306692	nan	11.882888	0.166465	0.000000	0.383330	0.305878	0.000000	0.694122	0.040000	0.000000	0.040000
sage_unsup	MPSPhaseColl	4.000000	2000	PAU	8	False	1.975455	14.19	0.001930	0.009025	0.004820	0.001448	0.001950	0.008626	10.346175	71.760715	17.893110	39.285059	202.333734	11.404928	0.056885	0.394551	0.098379	0.099346	0.730837	0.169817	0.039740	0.279643	0.319383
sage_unsup	Coll	4.000000	2000	PAU	8	False	2.085058	11.13	0.001876	0.010248	0.004548	0.009871	0.000000	0.000000	100.000000	0.000000	0.000000	55.692060	nan	nan	0.549736	0.000000	0.000000	0.095094	0.733226	0.171680	0.039908	0.279435	0.319343
sage_unsup	WG	4.000000	2000	PAU	8	False	1.234564	17.41	0.001870	0.003547	0.004443	0.000000	0.000000	0.000000	nan	nan	nan	nan	nan	nan	0.000000	0.000000	0.000000	None	None	None	0.040000	0	0.040000
sage_unsup	Cliq	8.000000	2000	PAU	8	False	1.418298	14.24	0.001879	0.005312	0.004125	0.004928	0.000000	0.000000	100.000000	0.000000	0.000000	111.541748	nan	nan	0.549678	0.000000	0.000000	0.122518	0.857626	0.019856	0.080000	0.560000	0.640000
sage_unsup	MPSPhaseCliq	8.000000	2000	PAU	8	False	1.137311	17.14	0.001945	0.002915	0.004172	0.000380	0.002127	0.001618	12.165139	85.154196	2.680665	175.986842	220.082386	9.107743	0.066875	0.468115	0.014736	0.122510	0.857569	0.019921	0.080000	0.560000	0.640000
sage_unsup	Rep	8.000000	2000	PAU	8	False	4.106370	12.49	0.001868	0.026440	0.004498	0.026099	0.000000	0.000000	100.000000	0.000000	0.000000	21.069114	nan	nan	0.549883	0.000000	0.000000	0.441866	0.000000	0.558134	0.080000	0.000000	0.080000
sage_unsup	MPSPhaseRep	8.000000	2000	PAU	8	False	4.162727	15.55	0.001962	0.026519	0.004716	0.003031	0.000000	0.026152	43.625127	0.000000	56.374873	79.143125	nan	11.853404	0.239883	0.000000	0.309990	0.441900	0.000000	0.558100	0.080000	0.000000	0.080000
sage_unsup	MPSPhaseColl	8.000000	2000	PAU	8	False	1.131639	17.31	0.001947	0.002935	0.004162	0.000413	0.002116	0.001651	12.164491	85.098144	2.737366	161.924939	221.092642	9.114978	0.066875	0.467832	0.015049	0.109862	0.869672	0.020467	0.079446	0.557449	0.636895
