short_app	policy_impl	cache_percentage	batchsize	dataset_short	num_worker	use_amp	epoch_e2e_time	cuda_usage	Step(average) L1 sample	Step(average) L2 feat copy	Step(average) L1 train total	Time.L	Time.R	Time.C	Wght.L	Wght.R	Wght.C	Thpt.L	Thpt.R	Thpt.C	SizeGB.L	SizeGB.R	SizeGB.C	optimal_local_rate	optimal_remote_rate	optimal_cpu_rate	coll_cache:local_cache_rate	coll_cache:remote_cache_rate	coll_cache:global_cache_rate	coll_cache:solve_time
sage_unsup	Cliq	1.000000	2000	PAU	8	True	14.659174	7.75	0.004221	0.102257	0.010725	0.101443	0.000000	0.000000	100.000000	0.000000	0.000000	5.422630	nan	nan	0.550088	0.000000	0.000000	0.076460	0.229380	0.694161	0.010000	0.030000	0.040000	None
sage_unsup	Rep	1.000000	2000	PAU	8	True	17.862832	7.92	0.004285	0.125898	0.012766	0.125189	0.000000	0.000000	100.000000	0.000000	0.000000	4.394449	nan	nan	0.550137	0.000000	0.000000	0.141304	0.000000	0.858696	0.010000	0.000000	0.010000	None
sage_unsup	MPSPhaseColl	1.000000	2000	PAU	8	True	17.357407	10.36	0.004429	0.121671	0.012703	0.000789	0.001525	0.120790	7.161879	20.974328	71.863793	49.929697	75.653176	3.272564	0.039395	0.115371	0.395293	0.068345	0.215920	0.715735	0.009989	0.029262	0.039251	15.610000
sage_unsup	Coll	1.000000	2000	PAU	8	True	15.229794	8.01	0.004232	0.106308	0.011216	0.105498	0.000000	0.000000	100.000000	0.000000	0.000000	5.213739	nan	nan	0.550039	0.000000	0.000000	0.069811	0.209014	0.721175	0.009987	0.029096	0.039083	22.910000
sage_unsup	WG	1.000000	2000	PAU	8	True	2.957266	23.15	0.004225	0.008735	0.010673	0.000000	0.000000	0.000000	nan	nan	nan	nan	nan	nan	0.000000	0.000000	0.000000	None	None	None	0.010000	0	0.010000	None
sage_unsup	Cliq	2.000000	2000	PAU	8	True	12.061628	8.42	0.004282	0.081762	0.010416	0.080884	0.000000	0.000000	100.000000	0.000000	0.000000	6.802397	nan	nan	0.550205	0.000000	0.000000	0.110431	0.331294	0.558275	0.020000	0.060000	0.080000	None
sage_unsup	Rep	2.000000	2000	PAU	8	True	16.561075	8.21	0.004216	0.116313	0.011890	0.115550	0.000000	0.000000	100.000000	0.000000	0.000000	4.761535	nan	nan	0.550195	0.000000	0.000000	0.208989	0.000000	0.791011	0.020000	0.000000	0.020000	None
sage_unsup	MPSPhaseColl	2.000000	2000	PAU	8	True	14.605604	10.74	0.004445	0.100865	0.011319	0.001075	0.002021	0.099939	10.852658	30.031251	59.116091	55.523256	81.724896	3.253254	0.059687	0.165166	0.325127	0.106544	0.307502	0.585953	0.019996	0.056238	0.076234	26.260000
sage_unsup	Coll	2.000000	2000	PAU	8	True	12.355640	8.42	0.004205	0.084573	0.009956	0.083719	0.000000	0.000000	100.000000	0.000000	0.000000	6.571929	nan	nan	0.550195	0.000000	0.000000	0.122750	0.300539	0.576711	0.019927	0.056637	0.076565	7.340000
sage_unsup	WG	2.000000	2000	PAU	8	True	2.957266	23.15	0.004225	0.008735	0.010673	0.000000	0.000000	0.000000	nan	nan	nan	nan	nan	nan	0.000000	0.000000	0.000000	None	None	None	0.020000	0	0.020000	None
sage_unsup	Cliq	4.000000	2000	PAU	8	True	8.581867	9.70	0.004215	0.054877	0.009470	0.053938	0.000000	0.000000	100.000000	0.000000	0.000000	10.199609	nan	nan	0.550146	0.000000	0.000000	0.156026	0.468078	0.375897	0.040000	0.120000	0.160000	None
sage_unsup	Rep	4.000000	2000	PAU	8	True	14.633828	9.33	0.004211	0.101947	0.010924	0.101133	0.000000	0.000000	100.000000	0.000000	0.000000	5.439156	nan	nan	0.550078	0.000000	0.000000	0.305897	0.000000	0.694103	0.040000	0.000000	0.040000	None
sage_unsup	MPSPhaseColl	4.000000	2000	PAU	8	True	10.632773	11.78	0.004411	0.070399	0.010152	0.001467	0.002759	0.069398	14.882664	44.248589	40.868747	55.811179	88.230422	3.239776	0.081875	0.243428	0.224834	0.136362	0.462756	0.400882	0.039907	0.117092	0.156998	18.780000
sage_unsup	Coll	4.000000	2000	PAU	8	True	9.198440	10.25	0.004224	0.060000	0.009305	0.059075	0.000000	0.000000	100.000000	0.000000	0.000000	9.310860	nan	nan	0.550039	0.000000	0.000000	0.157705	0.431419	0.410877	0.039912	0.112444	0.152357	26.100000
sage_unsup	WG	4.000000	2000	PAU	8	True	2.957266	23.15	0.004225	0.008735	0.010673	0.000000	0.000000	0.000000	nan	nan	nan	nan	nan	nan	0.000000	0.000000	0.000000	None	None	None	0.040000	0	0.040000	None
sage_unsup	Cliq	8.000000	2000	PAU	8	True	5.001902	12.35	0.004230	0.027107	0.008630	0.026087	0.000000	0.000000	100.000000	0.000000	0.000000	21.087042	nan	nan	0.550098	0.000000	0.000000	0.208507	0.625520	0.165973	0.080000	0.240000	0.320000	None
sage_unsup	Rep	8.000000	2000	PAU	8	True	12.000831	11.85	0.004265	0.081733	0.009979	0.080856	0.000000	0.000000	100.000000	0.000000	0.000000	6.802941	nan	nan	0.550059	0.000000	0.000000	0.441769	0.000000	0.558231	0.080000	0.000000	0.080000	None
sage_unsup	MPSPhaseColl	8.000000	2000	PAU	8	True	5.903884	14.12	0.004397	0.032979	0.009574	0.001927	0.003661	0.031901	20.380990	60.905072	18.713938	58.178191	91.510388	3.226841	0.112109	0.335020	0.102939	0.222165	0.599632	0.178204	0.079993	0.238953	0.318946	18.610000
sage_unsup	Coll	8.000000	2000	PAU	8	True	5.217146	12.32	0.004254	0.029170	0.008354	0.028154	0.000000	0.000000	100.000000	0.000000	0.000000	19.543390	nan	nan	0.550225	0.000000	0.000000	0.201087	0.615038	0.183875	0.079785	0.237689	0.317474	20.210000
sage_unsup	WG	8.000000	2000	PAU	8	True	2.957266	23.15	0.004225	0.008735	0.010673	0.000000	0.000000	0.000000	nan	nan	nan	nan	nan	nan	0.000000	0.000000	0.000000	None	None	None	0.080000	0	0.080000	None
sage_unsup	Cliq	12.000000	2000	PAU	8	True	3.535956	14.71	0.004238	0.016157	0.007830	0.015067	0.000000	0.000000	100.000000	0.000000	0.000000	36.512043	nan	nan	0.550127	0.000000	0.000000	0.233929	0.701788	0.064283	0.120000	0.360000	0.480000	None
sage_unsup	Rep	12.000000	2000	PAU	8	True	10.141570	13.72	0.004229	0.066975	0.009909	0.065990	0.000000	0.000000	100.000000	0.000000	0.000000	8.339628	nan	nan	0.550332	0.000000	0.000000	0.543018	0.000000	0.456982	0.120000	0.000000	0.120000	None
sage_unsup	MPSPhaseColl	12.000000	2000	PAU	8	True	3.458187	16.52	0.004375	0.014469	0.008716	0.001961	0.004022	0.013319	23.693132	68.438149	7.868719	66.471985	93.615972	3.250320	0.130352	0.376523	0.043291	0.250753	0.678388	0.070858	0.119912	0.354815	0.474727	23.620000
sage_unsup	Coll	12.000000	2000	PAU	8	True	3.623045	14.45	0.004244	0.016795	0.007876	0.015702	0.000000	0.000000	100.000000	0.000000	0.000000	35.039202	nan	nan	0.550186	0.000000	0.000000	0.242089	0.687068	0.070843	0.118028	0.356770	0.474799	50.590000
sage_unsup	WG	12.000000	2000	PAU	8	True	2.957266	23.15	0.004225	0.008735	0.010673	0.000000	0.000000	0.000000	nan	nan	nan	nan	nan	nan	0.000000	0.000000	0.000000	None	None	None	0.120000	0	0.120000	None
sage_unsup	Cliq	16.000000	2000	PAU	8	True	2.864441	17.83	0.004202	0.011133	0.007513	0.010059	0.000000	0.000000	100.000000	0.000000	0.000000	54.704587	nan	nan	0.550273	0.000000	0.000000	0.245034	0.735101	0.019865	0.160000	0.480000	0.640000	None
sage_unsup	Rep	16.000000	2000	PAU	8	True	8.596216	16.06	0.004253	0.054890	0.009551	0.053950	0.000000	0.000000	100.000000	0.000000	0.000000	10.196616	nan	nan	0.550107	0.000000	0.000000	0.624008	0.000000	0.375992	0.160000	0.000000	0.160000	None
sage_unsup	MPSPhaseColl	16.000000	2000	PAU	8	True	2.309253	19.36	0.004351	0.006230	0.007917	0.000369	0.004714	0.004670	24.855307	72.407059	2.737634	370.511518	84.489022	3.224538	0.136719	0.398281	0.015059	0.258782	0.720728	0.020490	0.159945	0.477810	0.637754	142.790000
sage_unsup	Coll	16.000000	2000	PAU	8	True	2.843567	17.56	0.004250	0.010660	0.007673	0.009579	0.000000	0.000000	100.000000	0.000000	0.000000	57.435618	nan	nan	0.550176	0.000000	0.000000	0.262473	0.717044	0.020483	0.159917	0.477801	0.637719	83.620000
